 INFO  Accepting connections at http://localhost:3000
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 1 ms
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/chunks/8a5d39ed9c33e6bc.css
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/media/Sample%20planning%20model%20img.9f9e43cd.png
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 1 ms
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/media/Dashboard%20examples.8e85f06e.png
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/media/weekly%20dashboard%20snapshot.ca98baf7.png
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/chunks/fd5f064b2a3f9309.js
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/chunks/b32a0963684b9933.js
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 3 ms
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/chunks/e4f32f5575cfb020.js
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/chunks/turbopack-b27eb6c10daccf90.js
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/chunks/fdd8ae154bc15173.js
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 3 ms
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 3 ms
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 15 ms
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 9 ms
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/chunks/f67bd5024dc59cad.js
 HTTP  04/01/2026 23:02:30 ::1 GET /_next/static/chunks/4d1773dc8137418d.js
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 3 ms
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 46 ms
 HTTP  04/01/2026 23:02:30 ::1 GET /favicon.ico?favicon.0b3bf435.ico
 HTTP  04/01/2026 23:02:30 ::1 Returned 200 in 1 ms
 HTTP  05/01/2026 13:26:07 ::1 GET /_next/static/chunks/bab05b0970580457.css
 HTTP  05/01/2026 13:26:07 ::1 Returned 404 in 80 ms
 HTTP  05/01/2026 21:37:20 ::1 GET /
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 20 ms
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/chunks/32f5be9773f80f56.css
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/media/Sample%20planning%20model%20img.9f9e43cd.png
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/media/Dashboard%20examples.8e85f06e.png
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/media/weekly%20dashboard%20snapshot.5f05040e.png
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 27 ms
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 8 ms
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 14 ms
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/chunks/fd5f064b2a3f9309.js
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/chunks/e4f32f5575cfb020.js
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 19 ms
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 11 ms
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/chunks/b32a0963684b9933.js
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/chunks/turbopack-b27eb6c10daccf90.js
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 67 ms
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 55 ms
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 43 ms
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 46 ms
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/chunks/fdd8ae154bc15173.js
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 9 ms
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/chunks/36633923eebfb9f9.js
 HTTP  05/01/2026 21:37:20 ::1 GET /_next/static/chunks/3aa3792a82826331.js
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 4 ms
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 2 ms
